2024-06-29T20:13:25.202-local:[INFO]: Started subtask
2024-06-29T20:13:35.682-local:[INFO]: tcin: 84728586
2024-06-29T20:13:35.728-local:[INFO]: tcin: 87497194
2024-06-29T20:13:35.730-local:[INFO]: tcin: 12935446
2024-06-29T20:13:35.773-local:[INFO]: tcin: 78862714
2024-06-29T20:13:35.823-local:[INFO]: tcin: 88063607
2024-06-29T20:13:35.839-local:[INFO]: tcin: 13192272
2024-06-29T20:13:35.902-local:[INFO]: tcin: 78643413
2024-06-29T20:13:35.918-local:[INFO]: tcin: 53280339
2024-06-29T20:13:35.925-local:[INFO]: tcin: 87604330
2024-06-29T20:13:35.975-local:[INFO]: tcin: 52024029
2024-06-29T20:13:36.126-local:[INFO]: tcin: 87545466
2024-06-29T20:13:36.128-local:[INFO]: tcin: 14793378
2024-06-29T20:13:36.162-local:[INFO]: tcin: 81035602
2024-06-29T20:13:36.178-local:[INFO]: tcin: 13183983
2024-06-29T20:13:36.286-local:[INFO]: tcin: 78717592
2024-06-29T20:13:36.338-local:[INFO]: tcin: 86800704
2024-06-29T20:13:36.404-local:[INFO]: tcin: 86800702
2024-06-29T20:13:36.427-local:[INFO]: tcin: 53280375
2024-06-29T20:13:36.460-local:[INFO]: tcin: 86800616
2024-06-29T20:13:36.491-local:[INFO]: tcin: 52277949
2024-06-29T20:13:36.586-local:[INFO]: tcin: 14788528
2024-06-29T20:13:36.623-local:[INFO]: tcin: 15295131
2024-06-29T20:13:36.662-local:[INFO]: tcin: 82101570
2024-06-29T20:13:36.789-local:[INFO]: tcin: 78443665
2024-06-29T20:13:36.867-local:[INFO]: tcin: 54308078
2024-06-29T20:13:36.899-local:[INFO]: tcin: 14063636
2024-06-29T20:13:36.947-local:[INFO]: tcin: 84591416
2024-06-29T20:13:36.978-local:[INFO]: tcin: 15295164
2024-06-29T20:13:37.025-local:[INFO]: tcin: 89259055
2024-06-29T20:13:37.152-local:[INFO]: tcin: 14786838
2024-06-29T20:13:37.199-local:[INFO]: tcin: 13187543
2024-06-29T20:13:37.201-local:[INFO]: tcin: 47974059
2024-06-29T20:13:37.231-local:[INFO]: tcin: 51972477
2024-06-29T20:13:37.233-local:[INFO]: tcin: 15579816
2024-06-29T20:13:37.357-local:[INFO]: tcin: 85320710
2024-06-29T20:13:37.392-local:[INFO]: tcin: 87497400
2024-06-29T20:13:37.397-local:[INFO]: tcin: 54291700
2024-06-29T20:13:37.401-local:[INFO]: tcin: 13387386
2024-06-29T20:13:37.468-local:[INFO]: tcin: 34842070
2024-06-29T20:13:37.515-local:[INFO]: tcin: 13458880
2024-06-29T20:13:37.606-local:[INFO]: tcin: 84271804
2024-06-29T20:13:37.624-local:[INFO]: tcin: 26398569
2024-06-29T20:13:37.630-local:[INFO]: tcin: 53470683
2024-06-29T20:13:37.639-local:[INFO]: tcin: 78649003
2024-06-29T20:13:37.659-local:[INFO]: tcin: 13369392
2024-06-29T20:13:37.664-local:[INFO]: tcin: 13258016
2024-06-29T20:13:37.673-local:[INFO]: tcin: 84310735
2024-06-29T20:13:37.687-local:[INFO]: tcin: 47106691
2024-06-29T20:13:37.845-local:[INFO]: tcin: 54296584
2024-06-29T20:13:37.846-local:[INFO]: tcin: 13461641
2024-06-29T20:13:37.855-local:[INFO]: tcin: 54308654
2024-06-29T20:13:37.937-local:[INFO]: tcin: 13291398
2024-06-29T20:13:38.030-local:[INFO]: tcin: 89043270
2024-06-29T20:13:38.051-local:[INFO]: tcin: 81534602
2024-06-29T20:13:38.185-local:[INFO]: tcin: 85445475
2024-06-29T20:13:38.264-local:[INFO]: tcin: 85776291
2024-06-29T20:13:38.403-local:[INFO]: tcin: 87497627
2024-06-29T20:13:38.434-local:[INFO]: tcin: 13409097
2024-06-29T20:13:38.481-local:[INFO]: tcin: 86800618
2024-06-29T20:13:38.544-local:[INFO]: tcin: 88163617
2024-06-29T20:13:38.558-local:[INFO]: tcin: 89043272
2024-06-29T20:13:38.573-local:[INFO]: tcin: 26398466
2024-06-29T20:13:38.665-local:[INFO]: tcin: 89157306
2024-06-29T20:13:38.681-local:[INFO]: tcin: 15646376
2024-06-29T20:13:38.743-local:[INFO]: tcin: 78649269
2024-06-29T20:13:38.772-local:[INFO]: tcin: 81187182
2024-06-29T20:13:38.788-local:[INFO]: tcin: 15042811
2024-06-29T20:13:38.821-local:[INFO]: tcin: 26398570
2024-06-29T20:13:38.853-local:[INFO]: tcin: 52099475
2024-06-29T20:13:38.868-local:[INFO]: tcin: 13192274
2024-06-29T20:13:38.912-local:[INFO]: tcin: 79502292
2024-06-29T20:13:38.975-local:[INFO]: tcin: 81076745
2024-06-29T20:13:39.006-local:[INFO]: tcin: 89037018
2024-06-29T20:13:39.132-local:[INFO]: tcin: 87496916
2024-06-29T20:13:39.331-local:[INFO]: tcin: 16602374
2024-06-29T20:13:39.393-local:[INFO]: tcin: 87497827
2024-06-29T20:13:39.398-local:[INFO]: tcin: 89227316
2024-06-29T20:13:39.577-local:[INFO]: tcin: 15295129
2024-06-29T20:13:39.624-local:[INFO]: tcin: 14786834
2024-06-29T20:13:39.626-local:[INFO]: tcin: 87545464
2024-06-29T20:13:39.640-local:[INFO]: tcin: 78649034
2024-06-29T20:13:39.672-local:[INFO]: tcin: 53401202
2024-06-29T20:13:39.734-local:[INFO]: tcin: 86800662
2024-06-29T20:13:39.736-local:[INFO]: tcin: 54291717
2024-06-29T20:13:39.747-local:[INFO]: tcin: 84310740
2024-06-29T20:13:39.778-local:[INFO]: tcin: 87497191
2024-06-29T20:13:39.794-local:[INFO]: tcin: 13469007
2024-06-29T20:13:39.844-local:[INFO]: tcin: 84310737
2024-06-29T20:13:39.955-local:[INFO]: tcin: 79502384
2024-06-29T20:13:40.026-local:[INFO]: tcin: 52099473
2024-06-29T20:13:40.071-local:[INFO]: tcin: 87497190
2024-06-29T20:13:40.078-local:[INFO]: tcin: 54308663
2024-06-29T20:13:40.119-local:[INFO]: tcin: 54321258
2024-06-29T20:13:40.134-local:[INFO]: tcin: 23985441
2024-06-29T20:13:40.226-local:[INFO]: tcin: 89093496
2024-06-29T20:13:40.320-local:[INFO]: tcin: 83376973
2024-06-29T20:13:40.351-local:[INFO]: tcin: 81064437
2024-06-29T20:13:40.353-local:[INFO]: tcin: 13192281
2024-06-29T20:13:40.381-local:[INFO]: tcin: 51742779
2024-06-29T20:13:40.504-local:[INFO]: tcin: 14757544
2024-06-29T20:13:40.613-local:[INFO]: tcin: 13257209
2024-06-29T20:13:40.642-local:[INFO]: tcin: 89207344
2024-06-29T20:13:40.688-local:[INFO]: tcin: 84311536
2024-06-29T20:13:40.703-local:[INFO]: tcin: 89043269
2024-06-29T20:13:40.755-local:[INFO]: tcin: 84637263
2024-06-29T20:13:40.795-local:[INFO]: tcin: 87497825
2024-06-29T20:13:40.893-local:[INFO]: tcin: 87497826
2024-06-29T20:13:40.916-local:[INFO]: tcin: 12935433
2024-06-29T20:13:40.931-local:[INFO]: tcin: 54289630
2024-06-29T20:13:40.965-local:[INFO]: tcin: 15042812
2024-06-29T20:13:41.034-local:[INFO]: tcin: 89130879
2024-06-29T20:13:41.116-local:[INFO]: tcin: 81608100
2024-06-29T20:13:41.147-local:[INFO]: tcin: 47099765
2024-06-29T20:13:41.150-local:[INFO]: tcin: 14786835
2024-06-29T20:13:41.226-local:[INFO]: tcin: 54321259
2024-06-29T20:13:41.270-local:[INFO]: tcin: 47962392
2024-06-29T20:13:41.301-local:[INFO]: tcin: 34842067
2024-06-29T20:13:41.302-local:[INFO]: tcin: 80184147
2024-06-29T20:13:41.348-local:[INFO]: tcin: 14793383
2024-06-29T20:13:41.470-local:[INFO]: tcin: 78655305
2024-06-29T20:13:41.539-local:[INFO]: tcin: 78612221
2024-06-29T20:13:41.644-local:[INFO]: tcin: 89093506
2024-06-29T20:13:41.666-local:[INFO]: tcin: 89157305
2024-06-29T20:13:41.727-local:[INFO]: tcin: 86800663
2024-06-29T20:13:41.744-local:[INFO]: tcin: 81608097
2024-06-29T20:13:41.884-local:[INFO]: tcin: 14786833
2024-06-29T20:13:41.919-local:[INFO]: tcin: 81549863
2024-06-29T20:13:41.964-local:[INFO]: tcin: 14786832
2024-06-29T20:13:42.013-local:[INFO]: tcin: 47099766
2024-06-29T20:13:42.113-local:[INFO]: tcin: 89043273
2024-06-29T20:13:42.142-local:[INFO]: tcin: 81187186
2024-06-29T20:13:42.196-local:[INFO]: tcin: 81549864
2024-06-29T20:13:42.202-local:[INFO]: tcin: 89057431
2024-06-29T20:13:42.261-local:[INFO]: tcin: 81608107
2024-06-29T20:13:42.263-local:[INFO]: tcin: 80184158
2024-06-29T20:13:42.276-local:[INFO]: tcin: 80184152
2024-06-29T20:13:42.306-local:[INFO]: tcin: 47106629
2024-06-29T20:13:42.377-local:[INFO]: tcin: 87493567
2024-06-29T20:13:42.379-local:[INFO]: tcin: 87493569
2024-06-29T20:13:42.459-local:[INFO]: tcin: 87493568
2024-06-29T20:13:42.476-local:[INFO]: tcin: 89058431
2024-06-29T20:13:42.500-local:[INFO]: tcin: 89082984
2024-06-29T20:13:42.641-local:[INFO]: tcin: 89952649
2024-06-29T20:13:42.673-local:[INFO]: tcin: 47099528
2024-06-29T20:13:42.694-local:[WARN]: Possibly not valid url for product with tcin 89057431 and url https://www.target.com/p/clo-clo-mediterranean-frozen-vegan-pizza-10oz/-/A-89057431
2024-06-29T20:13:42.695-local:[INFO]: tcin: 78649018
2024-06-29T20:13:42.709-local:[INFO]: tcin: 89082986
2024-06-29T20:13:42.719-local:[INFO]: tcin: 34842071
2024-06-29T20:13:42.779-local:[INFO]: tcin: 54284748
2024-06-29T20:13:42.841-local:[INFO]: tcin: 54284757
2024-06-29T20:13:43.074-local:[INFO]: tcin: 54284754
2024-06-29T20:13:43.076-local:[INFO]: tcin: 54284805
2024-06-29T20:13:43.090-local:[INFO]: tcin: 54284724
2024-06-29T20:13:43.104-local:[INFO]: tcin: 87519284
2024-06-29T20:13:43.107-local:[INFO]: tcin: 81608104
2024-06-29T20:13:43.142-local:[INFO]: tcin: 79480963
2024-06-29T20:13:43.153-local:[INFO]: tcin: 47106685
2024-06-29T20:13:43.197-local:[WARN]: Possibly not valid url for product with tcin 78649018 and url https://www.target.com/p/feel-good-foods-gluten-free-frozen-chicken-egg-rolls-9oz/-/A-78649018
2024-06-29T20:13:43.198-local:[INFO]: tcin: 88411429
2024-06-29T20:13:43.230-local:[INFO]: tcin: 88411430
2024-06-29T20:13:43.244-local:[INFO]: tcin: 88411458
2024-06-29T20:13:43.267-local:[INFO]: tcin: 47106664
2024-06-29T20:13:43.269-local:[INFO]: tcin: 89984412
2024-06-29T20:13:43.289-local:[INFO]: tcin: 89908086
2024-06-29T20:13:43.351-local:[INFO]: tcin: 89908089
2024-06-29T20:13:43.490-local:[INFO]: tcin: 89984323
2024-06-29T20:13:43.567-local:[INFO]: tcin: 90009498
2024-06-29T20:13:43.582-local:[INFO]: tcin: 89908085
2024-06-29T20:13:43.591-local:[INFO]: tcin: 89908091
2024-06-29T20:13:43.605-local:[INFO]: tcin: 54311260
2024-06-29T20:13:43.636-local:[INFO]: tcin: 89921993
2024-06-29T20:13:43.761-local:[INFO]: tcin: 89918962
2024-06-29T20:13:43.762-local:[INFO]: tcin: 89908112
2024-06-29T20:13:43.778-local:[INFO]: tcin: 89908110
2024-06-29T20:13:43.949-local:[INFO]: tcin: 89921994
2024-06-29T20:13:44.011-local:[INFO]: tcin: 89984410
2024-06-29T20:13:44.061-local:[INFO]: tcin: 89984197
2024-06-29T20:13:44.063-local:[INFO]: tcin: 89984417
2024-06-29T20:13:44.119-local:[INFO]: tcin: 89921997
2024-06-29T20:13:44.274-local:[INFO]: tcin: 89984204
2024-06-29T20:13:44.321-local:[INFO]: tcin: 89984329
2024-06-29T20:13:44.323-local:[INFO]: tcin: 89918955
2024-06-29T20:13:44.400-local:[INFO]: tcin: 89984322
2024-06-29T20:13:44.414-local:[INFO]: tcin: 89918961
2024-06-29T20:13:44.430-local:[INFO]: tcin: 89908077
2024-06-29T20:13:44.446-local:[INFO]: tcin: 89984407
2024-06-29T20:13:44.497-local:[INFO]: tcin: 89921709
2024-06-29T20:13:44.553-local:[INFO]: tcin: 89984328
2024-06-29T20:13:44.612-local:[INFO]: tcin: 89908120
2024-06-29T20:13:44.657-local:[INFO]: tcin: 89984327
2024-06-29T20:13:44.687-local:[INFO]: tcin: 89921990
2024-06-29T20:13:44.703-local:[INFO]: tcin: 89918960
2024-06-29T20:13:44.747-local:[INFO]: tcin: 89952597
2024-06-29T20:13:44.883-local:[WARN]: Possibly not valid url for product with tcin 89908077 and url https://www.target.com/p/amys-frozen-penne-bowl-with-mushrooms-and-spinach-9oz/-/A-89908077
2024-06-29T20:13:44.884-local:[INFO]: tcin: 89984413
2024-06-29T20:13:44.906-local:[INFO]: tcin: 89984331
2024-06-29T20:13:44.983-local:[INFO]: tcin: 89908100
2024-06-29T20:13:44.985-local:[INFO]: tcin: 90005142
2024-06-29T20:13:44.987-local:[INFO]: tcin: 89908108
2024-06-29T20:13:45.007-local:[INFO]: tcin: 89919222
2024-06-29T20:13:45.091-local:[INFO]: tcin: 89908105
2024-06-29T20:13:45.123-local:[INFO]: tcin: 90038066
2024-06-29T20:13:45.199-local:[INFO]: tcin: 89921711
2024-06-29T20:13:45.294-local:[INFO]: tcin: 89919223
2024-06-29T20:13:45.341-local:[INFO]: tcin: 89952504
2024-06-29T20:13:45.371-local:[INFO]: tcin: 89952505
2024-06-29T20:13:45.403-local:[INFO]: tcin: 89908104
2024-06-29T20:13:45.431-local:[INFO]: tcin: 81187185
2024-06-29T20:13:45.539-local:[INFO]: tcin: 89984421
2024-06-29T20:13:45.568-local:[INFO]: tcin: 90038065
2024-06-29T20:13:45.659-local:[INFO]: tcin: 89908094
2024-06-29T20:13:45.727-local:[WARN]: Possibly not valid url for product with tcin 90038065 and url https://www.target.com/p/daily-harvest-frozen-acai-and-cherry-smoothie-6-9oz/-/A-90038065
2024-06-29T20:13:45.728-local:[INFO]: tcin: 89908101
2024-06-29T20:13:45.753-local:[INFO]: tcin: 90005143
