2024-06-30T12:30:36.950-local:[INFO]: Started subtask
2024-06-30T12:30:50.147-local:[INFO]: tcin: 15295131
2024-06-30T12:30:50.174-local:[INFO]: tcin: 82101570
2024-06-30T12:30:50.197-local:[INFO]: tcin: 78443665
2024-06-30T12:30:50.224-local:[INFO]: tcin: 54308078
2024-06-30T12:30:50.229-local:[INFO]: tcin: 14063636
2024-06-30T12:30:50.424-local:[INFO]: tcin: 84591416
2024-06-30T12:30:50.470-local:[INFO]: tcin: 15295164
2024-06-30T12:30:50.591-local:[INFO]: tcin: 89259055
2024-06-30T12:30:50.593-local:[INFO]: tcin: 14786838
2024-06-30T12:30:50.614-local:[INFO]: tcin: 13187543
2024-06-30T12:30:50.673-local:[INFO]: tcin: 47974059
2024-06-30T12:30:50.705-local:[INFO]: tcin: 51972477
2024-06-30T12:30:50.823-local:[INFO]: tcin: 15579816
2024-06-30T12:30:50.849-local:[INFO]: tcin: 85320710
2024-06-30T12:30:50.943-local:[INFO]: tcin: 87497400
2024-06-30T12:30:50.944-local:[INFO]: tcin: 54291700
2024-06-30T12:30:50.958-local:[INFO]: tcin: 13387386
2024-06-30T12:30:50.973-local:[INFO]: tcin: 34842070
2024-06-30T12:30:51.083-local:[INFO]: tcin: 13458880
2024-06-30T12:30:51.094-local:[INFO]: tcin: 84271804
2024-06-30T12:30:51.160-local:[INFO]: tcin: 26398569
2024-06-30T12:30:51.162-local:[INFO]: tcin: 53470683
2024-06-30T12:30:51.207-local:[INFO]: tcin: 78649003
2024-06-30T12:30:51.237-local:[INFO]: tcin: 13369392
2024-06-30T12:30:51.240-local:[INFO]: tcin: 13258016
2024-06-30T12:30:51.310-local:[INFO]: tcin: 84310735
2024-06-30T12:30:51.312-local:[INFO]: tcin: 47106691
2024-06-30T12:30:51.347-local:[INFO]: tcin: 54296584
2024-06-30T12:30:51.411-local:[INFO]: tcin: 13461641
2024-06-30T12:30:51.458-local:[INFO]: tcin: 54308654
2024-06-30T12:30:51.613-local:[INFO]: tcin: 13291398
2024-06-30T12:30:51.642-local:[INFO]: tcin: 89043270
2024-06-30T12:30:51.705-local:[INFO]: tcin: 81534602
2024-06-30T12:30:51.918-local:[INFO]: tcin: 85445475
2024-06-30T12:30:52.105-local:[INFO]: tcin: 85776291
2024-06-30T12:30:52.136-local:[INFO]: tcin: 87497627
2024-06-30T12:30:52.152-local:[INFO]: tcin: 13409097
2024-06-30T12:30:52.190-local:[INFO]: tcin: 86800618
2024-06-30T12:30:52.241-local:[INFO]: tcin: 88163617
2024-06-30T12:30:52.261-local:[INFO]: tcin: 89043272
2024-06-30T12:30:52.360-local:[INFO]: tcin: 26398466
2024-06-30T12:30:52.398-local:[INFO]: tcin: 89157306
2024-06-30T12:30:52.440-local:[INFO]: tcin: 15646376
2024-06-30T12:30:52.441-local:[INFO]: tcin: 78649269
2024-06-30T12:30:52.538-local:[INFO]: tcin: 81187182
2024-06-30T12:30:52.580-local:[INFO]: tcin: 15042811
2024-06-30T12:30:52.615-local:[INFO]: tcin: 26398570
2024-06-30T12:30:52.617-local:[INFO]: tcin: 52099475
2024-06-30T12:30:52.634-local:[INFO]: tcin: 13192274
2024-06-30T12:30:52.636-local:[INFO]: tcin: 79502292
2024-06-30T12:30:52.658-local:[INFO]: tcin: 81076745
2024-06-30T12:30:52.798-local:[INFO]: tcin: 89037018
2024-06-30T12:30:52.883-local:[INFO]: tcin: 87496916
2024-06-30T12:30:52.921-local:[INFO]: tcin: 16602374
2024-06-30T12:30:52.923-local:[INFO]: tcin: 87497827
2024-06-30T12:30:52.952-local:[INFO]: tcin: 89227316
2024-06-30T12:30:53.045-local:[INFO]: tcin: 15295129
2024-06-30T12:30:53.096-local:[INFO]: tcin: 14786834
2024-06-30T12:30:53.138-local:[INFO]: tcin: 87545464
2024-06-30T12:30:53.223-local:[INFO]: tcin: 78649034
2024-06-30T12:30:53.280-local:[INFO]: tcin: 53401202
2024-06-30T12:30:53.289-local:[INFO]: tcin: 86800662
2024-06-30T12:30:53.316-local:[INFO]: tcin: 54291717
2024-06-30T12:30:53.370-local:[INFO]: tcin: 84310740
2024-06-30T12:30:53.758-local:[INFO]: tcin: 87497191
2024-06-30T12:30:53.760-local:[INFO]: tcin: 13469007
2024-06-30T12:30:53.774-local:[INFO]: tcin: 84310737
2024-06-30T12:30:53.775-local:[INFO]: tcin: 79502384
2024-06-30T12:30:53.803-local:[INFO]: tcin: 52099473
2024-06-30T12:30:53.846-local:[INFO]: tcin: 87497190
2024-06-30T12:30:53.896-local:[INFO]: tcin: 54308663
2024-06-30T12:30:53.928-local:[INFO]: tcin: 54321258
2024-06-30T12:30:53.929-local:[INFO]: tcin: 23985441
2024-06-30T12:30:53.943-local:[INFO]: tcin: 89093496
2024-06-30T12:30:54.005-local:[INFO]: tcin: 83376973
2024-06-30T12:30:54.036-local:[INFO]: tcin: 81064437
2024-06-30T12:30:54.233-local:[INFO]: tcin: 13192281
2024-06-30T12:30:54.294-local:[INFO]: tcin: 51742779
2024-06-30T12:30:54.310-local:[INFO]: tcin: 14757544
2024-06-30T12:30:54.379-local:[INFO]: tcin: 13257209
2024-06-30T12:30:54.390-local:[INFO]: tcin: 89207344
2024-06-30T12:30:54.392-local:[INFO]: tcin: 84311536
2024-06-30T12:30:54.468-local:[INFO]: tcin: 89043269
2024-06-30T12:30:54.470-local:[INFO]: tcin: 84637263
2024-06-30T12:30:54.502-local:[INFO]: tcin: 87497825
2024-06-30T12:30:54.596-local:[INFO]: tcin: 87497826
2024-06-30T12:30:54.598-local:[INFO]: tcin: 12935433
2024-06-30T12:30:54.675-local:[INFO]: tcin: 54289630
2024-06-30T12:30:54.848-local:[INFO]: tcin: 15042812
2024-06-30T12:30:55.075-local:[INFO]: tcin: 89130879
2024-06-30T12:30:55.077-local:[INFO]: tcin: 81608100
2024-06-30T12:30:55.114-local:[INFO]: tcin: 47099765
2024-06-30T12:30:55.186-local:[INFO]: tcin: 14786835
2024-06-30T12:30:55.216-local:[INFO]: tcin: 54321259
2024-06-30T12:30:55.235-local:[INFO]: tcin: 47962392
2024-06-30T12:30:55.294-local:[INFO]: tcin: 34842067
2024-06-30T12:30:55.341-local:[INFO]: tcin: 80184147
2024-06-30T12:30:55.463-local:[INFO]: tcin: 14793383
2024-06-30T12:30:55.515-local:[INFO]: tcin: 78655305
2024-06-30T12:30:55.519-local:[INFO]: tcin: 78612221
2024-06-30T12:30:55.556-local:[INFO]: tcin: 89093506
2024-06-30T12:30:55.673-local:[INFO]: tcin: 89157305
2024-06-30T12:30:55.706-local:[INFO]: tcin: 86800663
2024-06-30T12:30:55.708-local:[INFO]: tcin: 81608097
2024-06-30T12:30:55.782-local:[INFO]: tcin: 14786833
2024-06-30T12:30:55.844-local:[INFO]: tcin: 81549863
2024-06-30T12:30:55.860-local:[INFO]: tcin: 14786832
2024-06-30T12:30:55.969-local:[INFO]: tcin: 47099766
2024-06-30T12:30:56.016-local:[INFO]: tcin: 89043273
2024-06-30T12:30:56.032-local:[INFO]: tcin: 81187186
2024-06-30T12:30:56.063-local:[INFO]: tcin: 81549864
2024-06-30T12:30:56.065-local:[INFO]: tcin: 81608107
2024-06-30T12:30:56.125-local:[INFO]: tcin: 80184158
2024-06-30T12:30:56.128-local:[INFO]: tcin: 80184152
2024-06-30T12:30:56.279-local:[INFO]: tcin: 47106629
2024-06-30T12:30:56.599-local:[INFO]: tcin: 87493567
2024-06-30T12:30:56.605-local:[INFO]: tcin: 87493569
2024-06-30T12:30:56.607-local:[INFO]: tcin: 87493568
2024-06-30T12:30:56.640-local:[INFO]: tcin: 89058431
2024-06-30T12:30:56.768-local:[INFO]: tcin: 89082984
2024-06-30T12:30:56.810-local:[INFO]: tcin: 89952649
2024-06-30T12:30:56.862-local:[INFO]: tcin: 47099528
2024-06-30T12:30:56.883-local:[INFO]: tcin: 89082986
2024-06-30T12:30:56.899-local:[INFO]: tcin: 34842071
2024-06-30T12:30:56.900-local:[INFO]: tcin: 54284748
2024-06-30T12:30:56.930-local:[INFO]: tcin: 54284757
2024-06-30T12:30:56.964-local:[INFO]: tcin: 54284754
2024-06-30T12:30:57.060-local:[INFO]: tcin: 54284805
2024-06-30T12:30:57.062-local:[INFO]: tcin: 54284724
2024-06-30T12:30:57.111-local:[INFO]: tcin: 87519284
2024-06-30T12:30:57.215-local:[INFO]: tcin: 81608104
2024-06-30T12:30:57.479-local:[INFO]: tcin: 79480963
2024-06-30T12:30:57.554-local:[INFO]: tcin: 47106685
2024-06-30T12:30:57.558-local:[INFO]: tcin: 88411429
2024-06-30T12:30:57.559-local:[INFO]: tcin: 88411430
2024-06-30T12:30:57.588-local:[INFO]: tcin: 88411458
2024-06-30T12:30:57.621-local:[INFO]: tcin: 47106664
2024-06-30T12:30:57.624-local:[INFO]: tcin: 89984412
2024-06-30T12:30:57.626-local:[INFO]: tcin: 89908086
2024-06-30T12:30:57.717-local:[INFO]: tcin: 89908089
2024-06-30T12:30:57.719-local:[INFO]: tcin: 89984323
2024-06-30T12:30:57.749-local:[INFO]: tcin: 90009498
2024-06-30T12:30:57.781-local:[INFO]: tcin: 89908085
2024-06-30T12:30:57.893-local:[INFO]: tcin: 89908091
2024-06-30T12:30:57.897-local:[INFO]: tcin: 54311260
2024-06-30T12:30:58.096-local:[INFO]: tcin: 89921993
2024-06-30T12:30:58.111-local:[INFO]: tcin: 89918962
2024-06-30T12:30:58.123-local:[INFO]: tcin: 89908112
2024-06-30T12:30:58.125-local:[INFO]: tcin: 89908110
2024-06-30T12:30:58.171-local:[INFO]: tcin: 89921994
2024-06-30T12:30:58.265-local:[INFO]: tcin: 89984410
2024-06-30T12:30:58.333-local:[INFO]: tcin: 89984197
2024-06-30T12:30:58.365-local:[INFO]: tcin: 89984417
2024-06-30T12:30:58.420-local:[INFO]: tcin: 89921997
2024-06-30T12:30:58.441-local:[INFO]: tcin: 89984204
2024-06-30T12:30:58.467-local:[INFO]: tcin: 89984329
2024-06-30T12:30:58.528-local:[INFO]: tcin: 89918955
2024-06-30T12:30:58.716-local:[INFO]: tcin: 89984322
2024-06-30T12:30:58.887-local:[INFO]: tcin: 89918961
2024-06-30T12:30:58.902-local:[INFO]: tcin: 89984407
2024-06-30T12:30:58.917-local:[INFO]: tcin: 89921709
2024-06-30T12:30:58.919-local:[INFO]: tcin: 89984328
2024-06-30T12:30:58.922-local:[INFO]: tcin: 89908120
2024-06-30T12:30:58.934-local:[INFO]: tcin: 89984327
2024-06-30T12:30:58.979-local:[INFO]: tcin: 89921990
2024-06-30T12:30:59.042-local:[INFO]: tcin: 89918960
2024-06-30T12:30:59.074-local:[INFO]: tcin: 89952597
2024-06-30T12:30:59.075-local:[INFO]: tcin: 89984413
2024-06-30T12:30:59.152-local:[INFO]: tcin: 89984331
2024-06-30T12:30:59.184-local:[INFO]: tcin: 89908100
2024-06-30T12:30:59.186-local:[INFO]: tcin: 90005142
2024-06-30T12:30:59.222-local:[INFO]: tcin: 89908108
2024-06-30T12:30:59.408-local:[INFO]: tcin: 89919222
2024-06-30T12:30:59.470-local:[INFO]: tcin: 89908105
2024-06-30T12:30:59.512-local:[INFO]: tcin: 90038066
2024-06-30T12:30:59.526-local:[INFO]: tcin: 89921711
2024-06-30T12:30:59.568-local:[INFO]: tcin: 89919223
2024-06-30T12:30:59.570-local:[INFO]: tcin: 89952504
2024-06-30T12:30:59.590-local:[INFO]: tcin: 89952505
2024-06-30T12:30:59.638-local:[INFO]: tcin: 89908104
2024-06-30T12:30:59.664-local:[INFO]: tcin: 81187185
2024-06-30T12:30:59.915-local:[INFO]: tcin: 89984421
2024-06-30T12:30:59.919-local:[INFO]: tcin: 89908094
2024-06-30T12:30:59.921-local:[INFO]: tcin: 89908101
2024-06-30T12:30:59.955-local:[INFO]: tcin: 89908095
2024-06-30T12:31:00.086-local:[INFO]: tcin: 90005146
2024-06-30T12:31:00.104-local:[INFO]: tcin: 47106636
2024-06-30T12:31:00.166-local:[INFO]: tcin: 89908098
2024-06-30T12:31:00.254-local:[INFO]: tcin: 89908106
2024-06-30T12:31:00.316-local:[INFO]: tcin: 90127265
2024-06-30T12:31:00.348-local:[INFO]: tcin: 90127266
2024-06-30T12:31:00.408-local:[INFO]: tcin: 90127264
2024-06-30T12:31:00.473-local:[INFO]: tcin: 89908097
2024-06-30T12:31:00.484-local:[INFO]: tcin: 89984321
2024-06-30T12:31:00.511-local:[INFO]: tcin: 51741852
2024-06-30T12:31:00.553-local:[INFO]: tcin: 78634481
2024-06-30T12:31:00.573-local:[INFO]: tcin: 89908088
2024-06-30T12:31:00.655-local:[INFO]: tcin: 89908087
2024-06-30T12:31:00.710-local:[INFO]: tcin: 89908084
2024-06-30T12:31:00.979-local:[INFO]: tcin: 89908090
